feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Clostridium.sensu.stricto.6	Sample_type	TFP	0.667494448724379	0.301017820395551	36	30	0.033590425083608	0.0791445632106928
Turicibacter	Sample_type	TFP	0.71171385438707	0.306855380660399	36	36	0.0375165307001436	0.0872005848706041
o__Saccharimonadales	Sample_type	TWL	0.91214242602952	0.424008651408032	36	33	0.0389175293662996	0.0892508673467136
f__Rhizobiales.Incertae.Sedis	Sample_type	TFP	1.07298355931421	0.46478660889609	36	36	0.0415548355022162	0.0940451540313313
Clostridium.sensu.stricto.9	Sample_type	TWL	0.769082458630381	0.364135156853693	36	28	0.0429731307395503	0.0947612626564442
o__Gaiellales	Sample_type	TFP	1.22284077727311	0.525787508589454	36	32	0.0426718827062959	0.0947612626564442
Clostridium.sensu.stricto.13	Sample_type	TFP	0.937143371655606	0.43046680634121	36	35	0.0501025507172564	0.109084034473014
Clostridium.sensu.stricto.1	Sample_type	TWL	0.467909638452802	0.231686768872657	36	36	0.0521311371933746	0.112081944965755
Clostridium.sensu.stricto.8	Sample_type	TWL	0.84956453167747	0.43033652205221	36	31	0.0568634724063599	0.120747126591283
o__Clostridiales	Sample_type	TWL	0.638640739328746	0.34798440287575	36	26	0.0757411457615375	0.158871671597371
Clostridium.sensu.stricto.11	Sample_type	TFP	0.740644746805646	0.382711958803852	36	31	0.0781756710490671	0.160073993100471
Macellibacteroides	Sample_type	TFP	-0.779880107087852	0.405474472655455	36	30	0.0773305925563182	0.160073993100471
Paenibacillus	Sample_type	TWL	0.639354647863431	0.353548842999287	36	26	0.0796663600965607	0.161207222783629
o__PeM15	Sample_type	TFP	1.02296187535971	0.540160087321581	36	35	0.0840355844968318	0.168071168993664
Candidatus.Competibacter	Sample_type	TFP	1.33887796583631	0.700966116129477	36	29	0.0857331303141575	0.169495384069369
Methanobacterium	Sample_type	TWL	0.752930511892088	0.432397589987369	36	30	0.0909982445116065	0.177860205181776
Iamia	Sample_type	TFP	0.743739020440785	0.405403601222239	36	27	0.0997344085735941	0.192745149153463
Methylocystis	Sample_type	TFP	1.06486932254069	0.59848531114226	36	34	0.104325999830073	0.199378577453029
f__Methylococcaceae	Sample_type	TWL	0.714076169230812	0.432251579858413	36	27	0.108328485543998	0.202527168625735
o__SJA.15	Sample_type	TFP	1.06372892800465	0.600534342576553	36	30	0.108126654608613	0.202527168625735
f__JG30.KF.CM45	Sample_type	TFP	0.869156555455059	0.510078890753834	36	33	0.117354488750987	0.212473390159682
Microcystis.PCC.7914	Sample_type	TWL	-0.756748509267077	0.469095331239129	36	35	0.117192185120822	0.212473390159682
Neochlamydia	Sample_type	TFP	0.933652154029344	0.544025644360733	36	27	0.116339531571164	0.212473390159682
IMCC26207	Sample_type	TWL	0.582379471906833	0.365668733778856	36	36	0.120961161190138	0.216722080465664
Methanosaeta	Sample_type	TFP	0.763503577836802	0.458536647698808	36	24	0.125307966666082	0.222195569758413
Terrisporobacter	Sample_type	TFP	-0.830254431291421	0.492492566596396	36	26	0.127449851138013	0.223687493834064
Fodinicola	Sample_type	TFP	0.718135641014217	0.443392853396441	36	30	0.130720129906328	0.227109720645337
f__Methylacidiphilaceae	Sample_type	TFP	-1.31417673120434	0.800647742650857	36	31	0.132331681362549	0.227610491943584
Methanosaeta	Sample_type	TWL	0.568053743030167	0.36951700073977	36	24	0.133825347462984	0.22790059171914
o__Microtrichales	Sample_type	TFP	0.670153283447434	0.437072214306895	36	31	0.152824124717901	0.257703425994891
Clostridium.sensu.stricto.9	Sample_type	TFP	0.586781728202498	0.391995178585196	36	28	0.156465719883363	0.261282561358625
o__Saccharimonadales	Sample_type	TFP	0.888028140152321	0.586208250114908	36	33	0.158670243257822	0.262416171541782
f__Ilumatobacteraceae	Sample_type	TFP	-0.731559483417925	0.483086847887859	36	24	0.1652413746706	0.27068110898422
Aeromonas	Sample_type	TFP	0.929417450224605	0.638958087074406	36	26	0.174771349027961	0.28359124559254
Epulopiscium	Sample_type	TFP	0.402992219204023	0.281807682298271	36	36	0.177079662329032	0.284651419818631
Paeniclostridium	Sample_type	TFP	0.774657125740886	0.543920377941126	36	35	0.181330232504481	0.286342536652446
Turicibacter	Sample_type	TWL	0.352933485865901	0.258431972441215	36	36	0.181461258692538	0.286342536652446
f__Oligoflexaceae	Sample_type	TWL	0.497913305819208	0.371781074108976	36	31	0.189757205009428	0.296711266014742
f__Xanthobacteraceae	Sample_type	TFP	0.949963251860726	0.666314167837953	36	32	0.191969124639967	0.297465670613282
CL500.3	Sample_type	TWL	0.553738105123352	0.430359940189966	36	28	0.207744724209982	0.319036540751044
Clostridium.sensu.stricto.3	Sample_type	TFP	0.418714488735225	0.321044368072122	36	34	0.212206789297431	0.323005024417328
Cetobacterium	Sample_type	TFP	-0.250280884439953	0.191612497722462	36	36	0.217669958206459	0.328414322907991
f__Isosphaeraceae	Sample_type	TWL	0.481496489421917	0.385002090021239	36	34	0.219865954816443	0.32884299329068
f__Simkaniaceae	Sample_type	TFP	0.726401944924263	0.559742550755623	36	25	0.221822355968961	0.328909010574666
Mycobacterium	Sample_type	TWL	0.388078338106015	0.314144809645592	36	36	0.225888028577096	0.33207470867744
f__67.14	Sample_type	TFP	-0.62935272120138	0.510253868078776	36	28	0.244448057411483	0.356314117582839
LD29	Sample_type	TFP	-0.866598840993751	0.713488006528772	36	33	0.250294202683792	0.361769771946321
Mycobacterium	Sample_type	TFP	0.419259401866166	0.354244848299598	36	36	0.258414312929112	0.370393848531728
Methanobacterium	Sample_type	TFP	0.632768731680555	0.539160135898088	36	30	0.264674810622912	0.376231962207776
f__Microcystaceae	Sample_type	TFP	0.825056464201246	0.73255013278201	36	27	0.283425074259345	0.3963342501838
f__Microcystaceae	Sample_type	TWL	0.531052831966485	0.486619587600101	36	27	0.283255997713924	0.3963342501838
Enterovibrio	Sample_type	TFP	-0.595886655774903	0.537001568881398	36	34	0.287643474026007	0.3989893349393
Conexibacter	Sample_type	TFP	0.658521597014037	0.602155483989555	36	31	0.297173269203344	0.405392584058182
Enterovibrio	Sample_type	TWL	-0.511393951784711	0.484456141992264	36	34	0.299330570787146	0.405392584058182
f__Methylococcaceae	Sample_type	TFP	0.718108537647922	0.649912549359777	36	27	0.295108959717481	0.405392584058182
Cyanobium.PCC.6307	Sample_type	TWL	0.463105029588311	0.453088699223638	36	35	0.314722615544872	0.422908514638422
Pirellula	Sample_type	TFP	0.49909293020913	0.487682703349818	36	28	0.325728485720072	0.434304647626763
Paeniclostridium	Sample_type	TWL	0.377304884186277	0.380893548039435	36	35	0.329187633133491	0.435540560761234
CL500.3	Sample_type	TFP	-0.696196962980787	0.695499051017659	36	28	0.341646575451432	0.445735505741957
f__Peptostreptococcaceae	Sample_type	TFP	0.423130414314496	0.425216394169927	36	36	0.342076085801967	0.445735505741957
Legionella	Sample_type	TWL	0.323543823094678	0.341360338511049	36	30	0.350484137567415	0.453257681666131
f__Anaerolineaceae	Sample_type	TFP	0.637538689078011	0.668424608168887	36	26	0.363447679963712	0.461982736297745
f__Gemmataceae	Sample_type	TFP	0.509374329072053	0.536467725888321	36	33	0.363867070438248	0.461982736297745
f__Pirellulaceae	Sample_type	TFP	-0.596382915088226	0.630970511162229	36	36	0.36528867521217	0.461982736297745
Clostridium.sensu.stricto.5	Sample_type	TFP	0.294908196263229	0.336995355677683	36	35	0.396234444478371	0.495450209641919
Paenibacillus	Sample_type	TFP	0.408058122034542	0.462704822143884	36	26	0.3975123775034	0.495450209641919
f__Propionibacteriaceae	Sample_type	TFP	0.527050686799223	0.624116018417706	36	30	0.417486128616746	0.516601540446621
Clostridium.sensu.stricto.8	Sample_type	TFP	0.430713005569634	0.527974159880261	36	31	0.43152186455923	0.53015543360134
Synechocystis.BDHKU.20401	Sample_type	TFP	0.629563506804689	0.804746950507409	36	27	0.452330209856429	0.551778695711389
f__Microtrichaceae	Sample_type	TFP	0.339959642545929	0.484894021062947	36	26	0.503751535058621	0.610177915704808
Legionella	Sample_type	TFP	0.363870741101685	0.546914261201691	36	30	0.52015021456257	0.625635223110224
Microcystis.PCC.7914	Sample_type	TFP	-0.546868836885928	0.841249084178945	36	35	0.530044590848588	0.633108816846925
Methylocaldum	Sample_type	TFP	0.443574376986944	0.694339650452774	36	29	0.536839710813194	0.636802967309444
f__Pirellulaceae	Sample_type	TWL	0.237764042639149	0.426556101380852	36	36	0.581101709203396	0.67992853049649
Plesiomonas	Sample_type	TFP	-0.26190801418121	0.458060723879304	36	34	0.578775248528777	0.67992853049649
Cyanobium.PCC.6307	Sample_type	TFP	-0.431162641006741	0.766552793443412	36	35	0.585634901950837	0.68060272388881
Tyzzerella.3	Sample_type	TFP	-0.246614180445322	0.452994772837501	36	25	0.599692986025555	0.69226304427111
f__0319.6G20	Sample_type	TWL	0.1860711968262	0.365241319179056	36	28	0.613967061628065	0.700972616117088
Paraclostridium	Sample_type	TFP	-0.23444164131106	0.458801291559176	36	34	0.619464172382543	0.700972616117088
Snowella.0TU37S04	Sample_type	TFP	-0.395654568100967	0.764854018715041	36	25	0.615444585797163	0.700972616117088
f__Methylacidiphilaceae	Sample_type	TWL	0.192429450327553	0.401342612304205	36	31	0.635240471726586	0.714126543378907
o__HOC36	Sample_type	TFP	0.462779450696688	1.0804653109386	36	26	0.678112028298512	0.757371875761974
Terrimicrobium	Sample_type	TFP	-0.176064844688425	0.431343459235349	36	25	0.690867737966593	0.766640328582283
f__Isosphaeraceae	Sample_type	TFP	0.184809055992767	0.496872357640497	36	34	0.715803767449797	0.78921953847029
o__Planctomycetales	Sample_type	TFP	0.167383422065271	0.511577328242159	36	28	0.749352278801601	0.820946445566086
f__Rickettsiaceae	Sample_type	TWL	-0.0883719747117003	0.287330796113692	36	29	0.760385871558754	0.826541262739344
Romboutsia	Sample_type	TFP	-0.0661670932342703	0.218639130443283	36	36	0.764070120788114	0.826541262739344
f__Simkaniaceae	Sample_type	TWL	-0.0834760185128819	0.336309459212449	36	25	0.805612098032037	0.86162325887369
IMCC26207	Sample_type	TFP	-0.130813017195422	0.535456788430417	36	36	0.811449783434476	0.86162325887369
Terrimicrobium	Sample_type	TWL	0.0675740631270916	0.281045433919166	36	25	0.811528883357778	0.86162325887369
Hyphomicrobium	Sample_type	TFP	-0.0905053242237806	0.474901108963218	36	26	0.851914285592806	0.898952497680752
LD29	Sample_type	TWL	0.0696261519683165	0.425214060470933	36	33	0.870999897375113	0.91348769724707
o__IMCC26256	Sample_type	TFP	0.0945322504438527	0.652278697099111	36	32	0.887617003658294	0.925273482601373
Cellulosilyticum	Sample_type	TWL	-0.0375481552256234	0.306245441311354	36	26	0.903161208193275	0.931331717900164
f__Lachnospiraceae	Sample_type	TWL	-0.0331189035780213	0.281602478044018	36	26	0.907143758175888	0.931331717900164
f__Oligoflexaceae	Sample_type	TFP	0.0615664438273327	0.529641992606254	36	31	0.909672840739695	0.931331717900164
f__0319.6G20	Sample_type	TFP	0.0592724412980264	0.565208670200831	36	28	0.918467423224109	0.934771578665957
f__Rickettsiaceae	Sample_type	TFP	0.0297497895398192	0.343116509807412	36	29	0.932334042836266	0.94330267863434
Sporichthya	Sample_type	TFP	-0.024785792736423	0.497342727478554	36	24	0.961228634747672	0.966849854833915
Snowella.0TU37S04	Sample_type	TWL	0.0109285606056679	0.459266177405669	36	25	0.98116842889314	0.98116842889314
