feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
f__Ilumatobacteraceae	Species	Nile tilapia	1.36745403867054	0.327765004381524	24	15	0.000459309419689555	0.000918618839379111
f__Xanthobacteraceae	Species	Nile tilapia	1.58639439712755	0.38090956072682	24	18	0.000458719218824703	0.000918618839379111
c__KD4.96	Species	Nile tilapia	1.50429194069599	0.36246530749798	24	14	0.000474269760229784	0.000929181571062434
f__Acetobacteraceae	Species	Nile tilapia	1.52348840971296	0.369032915787707	24	13	0.000518145120726451	0.000994838631794786
LD29	Species	Nile tilapia	1.64063815960613	0.403685038304322	24	20	0.000547072150374084	0.00102978287129239
o__PeM15	Species	Nile tilapia	1.44078340502237	0.354991096740916	24	20	0.000596672989450694	0.00110155013437051
Brevinema	Species	Nile tilapia	-1.76638874784716	0.444634025682228	24	15	0.00064466532983897	0.0011471752053602
Hyphomicrobium	Species	Nile tilapia	1.7189860991895	0.429679446943016	24	14	0.000645286053015114	0.0011471752053602
Dechloromonas	Species	Nile tilapia	1.59926106353271	0.40335448477881	24	13	0.000750482700615293	0.00128654177248336
o__Planctomycetales	Species	Nile tilapia	1.65940761703605	0.41796488637616	24	16	0.000747576821407188	0.00128654177248336
o__Microtrichales	Species	Nile tilapia	1.32329546159475	0.335316250660284	24	14	0.000792756815863742	0.0013351693740863
Candidatus.Arthromitus	Species	Nile tilapia	-2.06088736052686	0.542410867490211	24	14	0.00105538809024297	0.00174684925281594
Gaiella	Species	Nile tilapia	1.47213600403729	0.389581709859843	24	14	0.00113515555997249	0.00184703277554845
Reyranella	Species	Nile tilapia	1.16813888069575	0.310086274938302	24	13	0.00122417477143825	0.00195867963430119
Methyloparacoccus	Species	Nile tilapia	1.40702466100539	0.377612207953979	24	16	0.00127476900672189	0.00200619384664429
Neochlamydia	Species	Nile tilapia	1.21474414563053	0.335209178984328	24	15	0.00150258504747332	0.00232658329931353
o__OPB41	Species	Nile tilapia	1.54511883402597	0.426359127316438	24	16	0.00163866020896694	0.00249700603271153
o__HOC36	Species	Nile tilapia	1.61991926763256	0.44912644571798	24	15	0.00171141541441153	0.00256712312161729
Microcystis.PCC.7914	Species	Nile tilapia	1.51998501205192	0.423188964754298	24	19	0.00175488199558145	0.00259182571655107
f__Desulfarculaceae	Species	Nile tilapia	1.56426353521659	0.440901826298426	24	17	0.00188331324395348	0.00273936471847778
o__Gaiellales	Species	Nile tilapia	1.62330266659593	0.460663555970788	24	18	0.00198987154243266	0.00285115922497815
f__SC.I.84	Species	Nile tilapia	1.29836955855737	0.377457986739172	24	14	0.00249190652833295	0.00351798568705829
f__Pirellulaceae	Species	Nile tilapia	1.46891127433429	0.433141985617451	24	22	0.00267621863095051	0.00362650095852231
o__SBR1031	Species	Nile tilapia	1.34860912225402	0.393982685952653	24	13	0.00268209966724046	0.00362650095852231
Rhodopirellula	Species	Nile tilapia	1.12518516405082	0.332274309365995	24	13	0.00265664820527735	0.00362650095852231
o__Frankiales	Species	Nile tilapia	1.2542693936842	0.371389747024484	24	14	0.00283431976927623	0.00377909302570164
Conexibacter	Species	Nile tilapia	1.47510882094003	0.446500980205206	24	18	0.00339491387721852	0.00446454427689011
f__Anaerolineaceae	Species	Nile tilapia	1.33614733721404	0.405393749966429	24	14	0.00352972690684177	0.00457910517644337
Terrisporobacter	Species	Nile tilapia	1.40665933485589	0.429916769344429	24	17	0.00363228219568249	0.00464932121047358
Snowella.0TU37S04	Species	Nile tilapia	0.921115123808702	0.281371963484933	24	13	0.00377073103627282	0.00476302867739725
Methanobacterium	Species	Nile tilapia	1.27058505637349	0.393492283648633	24	13	0.00399950337935449	0.00495241161481925
o__1.20	Species	Nile tilapia	1.34603693029164	0.416345696419776	24	16	0.00402383443704064	0.00495241161481925
CL500.3	Species	Nile tilapia	1.2005357312055	0.376860139981962	24	16	0.0042743182891906	0.00519410830078858
Methylocaldum	Species	Nile tilapia	1.32109662011208	0.412332325524917	24	16	0.00441332508854895	0.00529599010625874
c__MB.A2.108	Species	Nile tilapia	0.971497965402927	0.303255169099716	24	13	0.00450732539959254	0.00534201528840597
Aquisphaera	Species	Nile tilapia	1.02689508034304	0.323227876854794	24	13	0.00470820370410761	0.00551204336090647
o__SJA.15	Species	Nile tilapia	1.34098841165652	0.448449177880303	24	15	0.00703892529759443	0.00814140757312127
f__Methylacidiphilaceae	Species	Nile tilapia	1.09070550058278	0.369055186978814	24	21	0.00731115353616449	0.00835560404133085
Clostridium.sensu.stricto.6	Species	Nile tilapia	1.1014948714026	0.38256088045344	24	15	0.00898073639996547	0.0101429493458434
f__Simkaniaceae	Species	Nile tilapia	0.525156616578636	0.202817432592208	24	13	0.0167370314827884	0.0186831979342754
Legionella	Species	Nile tilapia	0.996880555389577	0.404913669300959	24	16	0.0223279284022728	0.0246377140990596
f__Barnesiellaceae	Species	Nile tilapia	1.0519447282254	0.429523498207675	24	13	0.0232363664384901	0.0253487633874437
Crenobacter	Species	Nile tilapia	1.13405711128129	0.553228449352564	24	21	0.0528630475249348	0.0570208153077949
Clostridium.sensu.stricto.19	Species	Nile tilapia	-0.810568270217888	0.452314588606185	24	19	0.0871382644736599	0.0929474821052372
CL500.29.marine.group	Species	Nile tilapia	0.46861225563498	0.318179776209283	24	13	0.156249568436189	0.164834709559056
f__Methylococcaceae	Species	Nile tilapia	0.456984832821052	0.314723156277311	24	15	0.162024426904291	0.169068967204477
Paraclostridium	Species	Nile tilapia	0.347781492172449	0.385620331781818	24	23	0.377436060680781	0.389611417476935
Cetobacterium	Species	Nile tilapia	0.126025643860676	0.29032959554579	24	24	0.668620273983613	0.68284623725986
Plesiomonas	Species	Nile tilapia	-0.126761248864796	0.447361178275666	24	24	0.779555344510847	0.78776119024254
Clostridium.sensu.stricto.1	Species	Nile tilapia	0.021538107483321	0.364220107235339	24	24	0.953391696637685	0.953391696637685
